state_label,region_label,census_division_label,marital_status_label,living_arrangement_label,marital_net_label,gender_age_net_label,national_weight,census_division_weight,state_weight
California,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.173068,3.106379,0.888063
Virginia,South,South Atlantic,Single,Only adult in household,Single,Male 55–64,1.113969,1.140751,0.942803
Illinois,Midwest,East North Central,Divorced,Only adult in household,Single,Male 55–64,1.17325,1.015119,0.84683
South Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,1.187303,0.750931,1.057375
New Jersey,Northeast,Middle Atlantic,Divorced,Only adult in household,Single,Male 65+,1.941959,0.672661,0.944703
Michigan,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 65+,1.398905,1.031144,0.996716
Illinois,Midwest,East North Central,Single,Live with spouse/partner,Living with partner,Female 35–44,1.375414,1.392476,1.161972
Michigan,Midwest,East North Central,Single,Live with spouse/partner,Living with partner,Male 25–34,1.631792,1.186475,1.117478
Arizona,West,Mountain,Single,Only adult in household,Single,Female 65+,0.465382,2.087531,1.021208
Oregon,West,Pacific,Divorced,Live with family/friends/roommates,Single,Male 65+,1.173068,0.336172,0.746547
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.113969,2.95939,1.079625
New York,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 45–54,1.912955,1.795204,1.276399
Arizona,West,Mountain,Divorced,Only adult in household,Single,Female 65+,0.389766,2.020169,0.890773
Washington,West,Pacific,Widowed/widower,Only adult in household,Single,Female 55–64,1.490766,0.86348,0.985495
New Jersey,Northeast,Middle Atlantic,Single,Live with spouse/partner,Living with partner,Male 55–64,1.628704,0.539825,0.781793
Maine,Northeast,New England,Single,Live with spouse/partner,Living with partner,Female 65+,0.418193,0.600247,1.058418
Texas,South,West South Central,Single,Only adult in household,Single,Female 35–44,1.402234,2.865284,0.866375
Oregon,West,Pacific,Divorced,Only adult in household,Single,Female 65+,1.490766,0.472667,1.063156
Pennsylvania,Northeast,Middle Atlantic,Single,Only adult in household,Single,Male 45–54,1.873125,0.955452,0.963285
Indiana,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 65+,1.250487,0.620072,0.958563
Pennsylvania,Northeast,Middle Atlantic,Divorced,Live with family/friends/roommates,Single,Female 65+,2.069801,1.044938,1.050583
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.934276,2.543134,0.898523
Michigan,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 65+,1.490998,1.14876,1.08399
Colorado,West,Mountain,Single,Live with family/friends/roommates,Single,Female 35–44,0.428704,1.816609,0.946025
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 25–34,1.370103,1.259462,0.998279
Ohio,Midwest,East North Central,Single,Only adult in household,Single,Female 65+,1.490998,1.363954,1.060881
Georgia,South,South Atlantic,Divorced,Only adult in household,Single,Female 65+,1.187303,1.492996,1.125133
Virginia,South,South Atlantic,Divorced,Only adult in household,Single,Female 45–54,1.095263,1.183497,1.062877
Tennessee,South,East South Central,Married,Live with spouse/partner,Married,Female 65+,0.789787,1.535544,1.054197
Indiana,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 65+,1.398905,0.68036,0.978696
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Male 45–54,0.317408,0.457303,0.833793
California,West,Pacific,Widowed/widower,Only adult in household,Single,Female 55–64,1.490766,4.367652,1.313768
Georgia,South,South Atlantic,Single,Live with family/friends/roommates,Single,Female 45–54,1.096797,1.367795,0.99206
New York,Northeast,Middle Atlantic,Widowed/widower,Only adult in household,Single,Female 65+,2.069801,1.5596,1.206249
Texas,South,West South Central,Married,Live with spouse/partner,Married,Male 65+,1.171223,2.497776,0.926562
California,West,Pacific,Married,Live in parents’ home,Married,Male 35–44,1.745815,3.540878,0.950075
South Carolina,South,South Atlantic,Single,Only adult in household,Single,Female 35–44,1.096797,0.687959,1.070804
Ohio,Midwest,East North Central,Divorced,Only adult in household,Single,Male 65+,1.17325,1.001573,0.678994
Georgia,South,South Atlantic,Divorced,Only adult in household,Single,Female 55–64,1.188967,1.392975,1.01384
Kentucky,South,East South Central,Married,Live with spouse/partner,Married,Female 55–64,0.789787,0.953596,1.028592
Alabama,South,East South Central,Divorced,Live with family/friends/roommates,Single,Female 65+,0.789787,1.08952,1.067613
Arizona,West,Mountain,Single,Only adult in household,Single,Female 45–54,0.428704,2.160923,1.047736
Illinois,Midwest,East North Central,Single,Live in parents’ home,Single,Male 25–34,1.629509,1.580416,0.958379
Massachusetts,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.418193,2.911016,1.113302
Nevada,West,Mountain,Single,Only adult in household,Single,Male 55–64,0.365691,0.809732,0.807596
Oregon,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.173068,0.336172,0.746547
Arizona,West,Mountain,Married,Live with spouse/partner,Married,Female 45–54,0.359551,1.851883,0.861736
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,1.096797,1.367795,0.99206
Texas,South,West South Central,Married,Live with spouse/partner,Married,Female 55–64,1.520071,2.82168,0.833769
Massachusetts,Northeast,New England,Single,Only adult in household,Single,Female 65+,0.350735,2.410191,0.948147
New York,Northeast,Middle Atlantic,Divorced,Only adult in household,Single,Female 65+,2.069801,1.5596,1.206249
Georgia,South,South Atlantic,Married,Live in parents’ home,Married,Female 18–24,1.114233,1.775833,0.895471
California,West,Pacific,Divorced,Only adult in household,Single,Female 65+,1.250293,3.106522,0.883381
Mississippi,South,East South Central,Single,Live with spouse/partner,Living with partner,Female 18–24,0.726766,0.57406,0.953212
North Carolina,South,South Atlantic,Widowed/widower,Only adult in household,Single,Male 65+,1.113969,1.419471,0.877132
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 45–54,1.34932,1.233606,1.023938
New York,Northeast,Middle Atlantic,Divorced,Only adult in household,Single,Female 55–64,1.735925,1.251613,0.888419
California,West,Pacific,Married,Live with spouse/partner,Married,Female 65+,1.490766,4.367652,1.313768
Oklahoma,South,West South Central,Married,Only adult in household,Married,Male 35–44,1.346989,0.421828,1.007402
Alabama,South,East South Central,Widowed/widower,Live with family/friends/roommates,Single,Male 65+,0.741006,0.990587,0.994128
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,1.187303,3.126805,1.042707
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Female 55–64,2.069801,1.044938,1.050583
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 35–44,1.153548,1.123949,0.859644
California,West,Pacific,Single,Only adult in household,Single,Female 65+,1.490766,4.367652,1.313768
Vermont,Northeast,New England,Widowed/widower,Live with spouse/partner,Living with partner,Female 45–54,0.385775,0.259341,0.65455
New Jersey,Northeast,Middle Atlantic,Divorced,Only adult in household,Single,Male 55–64,1.941959,0.672661,0.944703
California,West,Pacific,Single,Only adult in household,Single,Male 25–34,1.631539,3.941702,1.040645
South Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,1.187303,0.750931,1.057375
Oklahoma,South,West South Central,Single,Live with family/friends/roommates,Single,Male 35–44,1.346989,0.421828,1.007402
Alabama,South,East South Central,Married,Live with spouse/partner,Married,Male 65+,0.621475,0.864465,0.845692
California,West,Pacific,Single,Live with spouse/partner,Living with partner,Female 25–34,1.772705,3.656011,0.890369
Minnesota,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 45–54,0.381456,1.632657,0.912602
Michigan,Midwest,East North Central,Divorced,Only adult in household,Single,Female 65+,1.490998,1.14876,1.08399
Missouri,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 45–54,0.446194,1.944103,0.930781
California,West,Pacific,Married,Live with spouse/partner,Married,Female 55–64,1.252045,2.788668,0.764392
Illinois,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 35–44,1.153548,1.13915,0.83008
North Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.934276,1.219814,0.907743
California,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.398688,4.367451,1.320732
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,1.417323,1.662027,1.448993
Massachusetts,Northeast,New England,Widowed/widower,Only adult in household,Single,Female 65+,0.418193,2.911016,1.113302
North Carolina,South,South Atlantic,Single,Live in parents’ home,Single,Female 18–24,1.114233,1.783893,1.445667
New Mexico,West,Mountain,Widowed/widower,Only adult in household,Single,Female 65+,0.464731,0.659224,0.853304
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 55–64,1.17325,1.001573,0.678994
California,West,Pacific,Married,Live with spouse/partner,Married,Male 55–64,1.173068,3.106379,0.888063
Pennsylvania,Northeast,Middle Atlantic,Single,Only adult in household,Single,Female 65+,1.735925,0.838586,0.920268
Washington,West,Pacific,Married,Live with spouse/partner,Married,Female 35–44,1.375201,0.856074,1.046294
Illinois,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 55–64,1.17325,1.015119,0.84683
California,West,Pacific,Single,Only adult in household,Single,Male 55–64,1.173068,3.106379,0.888063
Florida,South,South Atlantic,Married,Live with family/friends/roommates,Married,Male 45–54,1.074483,3.026918,1.125924
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,1.187303,3.126805,1.042707
California,West,Pacific,Divorced,Only adult in household,Single,Female 55–64,1.250293,3.106522,0.883381
Indiana,Midwest,East North Central,Married,Only adult in household,Married,Male 45–54,1.34932,0.685529,0.830829
Minnesota,Midwest,West North Central,Single,Only adult in household,Single,Male 55–64,0.462591,1.755336,0.91522
New York,Northeast,Middle Atlantic,Single,Live with family/friends/roommates,Single,Male 18–24,2.265252,1.428086,0.950763
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 45–54,1.375414,1.373895,1.054871
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Male 65+,0.392363,0.580368,1.007176
Maryland,South,South Atlantic,Married,Live with spouse/partner,Married,Male 45–54,0.920322,0.885502,1.075698
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 45–54,0.420571,0.966976,0.921586
New York,Northeast,Middle Atlantic,Single,Only adult in household,Single,Male 65+,1.628704,1.160295,0.884887
Nevada,West,Mountain,Divorced,Only adult in household,Single,Male 35–44,0.420571,0.9169,0.950591
Arizona,West,Mountain,Separated,Only adult in household,Single,Female 55–64,0.464731,2.357291,1.08304
Iowa,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 65+,0.493044,1.065734,1.045971
New York,Northeast,Middle Atlantic,Widowed/widower,Only adult in household,Single,Female 65+,2.069801,1.5596,1.206249
New York,Northeast,Middle Atlantic,Divorced,Only adult in household,Single,Male 55–64,1.941959,1.445811,1.201454
Texas,South,West South Central,Widowed/widower,Live with family/friends/roommates,Single,Female 65+,1.248326,2.42473,0.868844
Michigan,Midwest,East North Central,Single,Only adult in household,Single,Male 65+,1.17325,0.843553,0.82229
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,0.995781,2.687002,0.867798
Texas,South,West South Central,Single,Live with family/friends/roommates,Single,Female 25–34,1.367736,3.077437,1.1279
California,West,Pacific,Single,Live in parents’ home,Single,Male 18–24,1.629256,4.390981,1.202636
Michigan,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 45–54,1.34932,1.038977,1.017134
Kentucky,South,East South Central,Married,Live with spouse/partner,Married,Female 65+,0.789787,0.953596,1.028592
California,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.174712,2.788539,0.768444
Missouri,Midwest,West North Central,Widowed/widower,Live with family/friends/roommates,Single,Female 65+,0.493044,2.102272,1.037419
North Carolina,South,South Atlantic,Divorced,Live with family/friends/roommates,Single,Female 65+,1.187303,1.499772,0.914763
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Female 45–54,1.601354,0.764015,0.880589
Maryland,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.113969,0.796988,1.104413
California,West,Pacific,Married,Live with spouse/partner,Married,Male 55–64,1.398688,4.367451,1.320732
South Carolina,South,South Atlantic,Widowed/widower,Only adult in household,Single,Male 65+,1.113969,0.710725,0.782285
Florida,South,South Atlantic,Divorced,Live with family/friends/roommates,Single,Female 65+,1.187303,3.126805,1.042707
Missouri,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 35–44,0.374219,1.659924,0.872362
New York,Northeast,Middle Atlantic,Single,Only adult in household,Single,Female 45–54,1.909348,1.420913,1.027706
Virginia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 45–54,1.074483,1.166781,0.962589
Louisiana,South,West South Central,Single,Live in parents’ home,Single,Female 18–24,1.369652,0.438784,0.990168
California,West,Pacific,Widowed/widower,Live with family/friends/roommates,Single,Female 65+,1.252045,2.788668,0.764392
Texas,South,West South Central,Married,Live with spouse/partner,Married,Male 65+,1.396488,3.093963,1.108482
Alabama,South,East South Central,Married,Live with spouse/partner,Married,Male 65+,0.621475,0.864465,0.845692
New York,Northeast,Middle Atlantic,Single,Only adult in household,Single,Male 65+,1.628704,1.160295,0.884887
Michigan,Midwest,East North Central,Widowed/widower,Only adult in household,Single,Male 55–64,1.174894,0.762086,0.785771
Massachusetts,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.418779,2.427804,0.851868
South Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Male 45–54,1.074483,0.726942,0.945937
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 55–64,0.934276,1.214303,0.844858
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,1.188967,2.917329,0.889376
Ohio,Midwest,East North Central,Widowed/widower,Only adult in household,Single,Female 65+,1.490998,1.363954,1.060881
California,West,Pacific,Single,Live with spouse/partner,Living with partner,Female 45–54,2.121849,5.077318,1.420612
California,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.173068,3.106379,0.888063
Maryland,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.934276,0.684887,0.998045
California,West,Pacific,Single,Only adult in household,Single,Male 45–54,1.349111,4.245778,1.280436
Missouri,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 45–54,0.446194,1.944103,0.930781
California,West,Pacific,Married,Live with spouse/partner,Married,Female 65+,1.490766,4.367652,1.313768
South Dakota,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 45–54,0.374219,0.238334,0.837216
Florida,South,South Atlantic,Divorced,Only adult in household,Single,Female 35–44,0.918587,2.638431,0.947256
Vermont,Northeast,New England,Married,Live with spouse/partner,Married,Male 45–54,0.48974,0.273224,0.674125
Kentucky,South,East South Central,Married,Live with spouse/partner,Married,Female 35–44,0.728562,0.922272,0.977671
New York,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.628704,1.160295,0.884887
Texas,South,West South Central,Single,Only adult in household,Single,Male 55–64,1.171223,2.497776,0.926562
Massachusetts,Northeast,New England,Married,Only adult in household,Married,Female 35–44,0.385775,2.671289,1.019753
Massachusetts,Northeast,New England,Married,Live with spouse/partner,Married,Female 45–54,0.323546,2.211708,0.868476
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 45–54,0.374219,0.506438,0.876917
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.418193,0.600247,1.058418
California,West,Pacific,Married,Live with spouse/partner,Married,Male 55–64,1.173068,3.106379,0.888063
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 55–64,1.490998,1.363954,1.060881
Massachusetts,Northeast,New England,Single,Live with family/friends/roommates,Single,Male 18–24,0.457043,3.378045,1.07312
Wisconsin,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 65+,1.398905,0.615193,0.767257
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Male 65+,1.171223,0.255607,0.777077
Illinois,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 55–64,1.17325,1.015119,0.84683
Arizona,West,Mountain,Single,Only adult in household,Single,Male 65+,0.436026,2.191983,1.085831
California,West,Pacific,Single,Only adult in household,Single,Male 65+,1.809971,3.64235,0.979974
Kentucky,South,East South Central,Married,Live with spouse/partner,Married,Female 55–64,0.789787,0.953596,1.028592
Illinois,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 55–64,1.398905,1.240863,1.18542
Kansas,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 65+,0.493044,0.966162,1.138938
Texas,South,West South Central,Single,Live in parents’ home,Single,Male 35–44,1.348876,2.905265,1.037246
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.113969,1.413058,0.999877
Texas,South,West South Central,Married,Live with spouse/partner,Married,Female 65+,1.488421,3.003482,1.039432
Montana,West,Mountain,Separated,Only adult in household,Single,Male 65+,0.436026,0.36327,0.864418
New Jersey,Northeast,Middle Atlantic,Divorced,Only adult in household,Single,Male 45–54,1.873125,0.663463,0.919386
Alabama,South,East South Central,Single,Only adult in household,Single,Male 35–44,0.715742,0.906974,0.924189
Florida,South,South Atlantic,Divorced,Only adult in household,Single,Male 65+,1.113969,2.95939,1.079625
California,West,Pacific,Single,Live with spouse/partner,Living with partner,Male 55–64,1.173068,3.106379,0.888063
South Dakota,Midwest,West North Central,Single,Only adult in household,Single,Male 65+,0.462591,0.273177,1.079926
North Carolina,South,South Atlantic,Single,Only adult in household,Single,Male 25–34,1.29942,1.630699,1.315389
California,West,Pacific,Single,Live in parents’ home,Single,Female 25–34,1.148915,3.11803,0.806862
Oklahoma,South,West South Central,Married,Live with spouse/partner,Married,Female 65+,1.488421,0.400879,1.074099
Massachusetts,Northeast,New England,Single,Only adult in household,Single,Male 25–34,0.457043,3.378045,1.07312
Texas,South,West South Central,Married,Live with spouse/partner,Married,Male 55–64,1.171223,2.497776,0.926562
Virginia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.934276,0.980298,0.761965
Michigan,Midwest,East North Central,Divorced,Only adult in household,Single,Female 65+,1.250487,0.939771,0.894291
Alabama,South,East South Central,Married,Live with spouse/partner,Married,Female 35–44,0.728562,1.053731,1.074394
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 65+,3.738822,0.990056,0.971206
New York,Northeast,Middle Atlantic,Single,Only adult in household,Single,Female 45–54,1.912024,1.304266,0.961396
Maryland,South,South Atlantic,Single,Live with spouse/partner,Living with partner,Male 25–34,1.29942,0.915586,0.889149
North Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,0.918587,1.265523,0.93875
Wisconsin,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 65+,1.398905,0.615193,0.767257
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,0.995781,2.687002,0.867798
North Carolina,South,South Atlantic,Single,Live in parents’ home,Single,Female 18–24,1.091033,1.411227,0.874005
Arizona,West,Mountain,Widowed/widower,Live with family/friends/roommates,Single,Female 65+,0.464731,2.357291,1.08304
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 65+,1.428651,1.413119,2.137619
Massachusetts,Northeast,New England,Married,Live with spouse/partner,Married,Female 45–54,0.323546,2.211708,0.868476
Oregon,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.398688,0.472645,0.893974
Illinois,Midwest,East North Central,Married,Live with family/friends/roommates,Married,Female 65+,1.250487,1.130907,0.807755
Washington,West,Pacific,Divorced,Only adult in household,Single,Female 55–64,1.490766,0.86348,0.985495
New York,Northeast,Middle Atlantic,Single,Live with family/friends/roommates,Single,Male 65+,1.628704,1.160295,0.884887
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 55–64,1.113969,1.413058,0.999877
Oregon,West,Pacific,Married,Live with spouse/partner,Married,Male 55–64,1.173068,0.336172,0.746547
New York,Northeast,Middle Atlantic,Single,Live in parents’ home,Single,Male 55–64,3.135718,1.185876,0.781614
Michigan,Midwest,East North Central,Separated,Live with family/friends/roommates,Single,Female 65+,1.490998,1.14876,1.08399
Indiana,Midwest,East North Central,Widowed/widower,Only adult in household,Single,Male 65+,1.398905,0.68036,0.978696
Texas,South,West South Central,Married,Live with spouse/partner,Married,Female 45–54,1.373038,3.049896,1.08008
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,1.095263,3.070284,1.138181
Texas,South,West South Central,Married,Live with spouse/partner,Married,Male 45–54,1.346989,3.160439,1.150219
Illinois,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 65+,1.398905,1.240863,1.18542
Indiana,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 35–44,2.648063,1.086942,1.436658
Ohio,Midwest,East North Central,Divorced,Live with spouse/partner,Living with partner,Male 65+,1.398905,1.224305,0.833195
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,0.995781,1.282997,0.950695
Ohio,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 55–64,1.250487,1.115816,0.864542
Missouri,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,2.102272,1.037419
Colorado,West,Mountain,Married,Live with spouse/partner,Married,Female 25–34,0.427049,1.80606,0.903037
Massachusetts,Northeast,New England,Married,Live with spouse/partner,Married,Female 35–44,0.323546,2.211708,0.868476
Florida,South,South Atlantic,Married,Only adult in household,Married,Male 55–64,1.113969,2.95939,1.079625
Minnesota,Midwest,West North Central,Single,Live in parents’ home,Single,Female 25–34,0.379983,1.568323,0.883481
New York,Northeast,Middle Atlantic,Single,Only adult in household,Single,Male 55–64,1.94468,1.32712,1.123933
New Jersey,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 35–44,1.570974,0.532443,0.760842
Illinois,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 55–64,2.158424,1.869616,1.755619
Michigan,Midwest,East North Central,Single,Only adult in household,Single,Male 55–64,1.398905,1.031144,0.996716
Tennessee,South,East South Central,Married,Live with spouse/partner,Married,Female 65+,0.662388,1.340037,0.910211
California,West,Pacific,Married,Live with spouse/partner,Married,Male 55–64,1.398688,4.367451,1.320732
New Jersey,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Female 55–64,2.069801,0.725601,1.070322
Georgia,South,South Atlantic,Single,Only adult in household,Single,Male 25–34,1.29942,1.623331,1.110301
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.941959,0.968699,0.895216
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.941959,0.968699,0.895216
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 65+,0.436026,0.996462,0.769397
California,West,Pacific,Married,Live with spouse/partner,Married,Female 65+,1.492855,3.920761,1.136808
Tennessee,South,East South Central,Divorced,Live with family/friends/roommates,Single,Female 65+,0.789787,1.535544,1.054197
Wisconsin,Midwest,East North Central,Divorced,Only adult in household,Single,Male 45–54,1.131664,0.507097,0.768648
New York,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Female 55–64,1.735925,1.251613,0.888419
Minnesota,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.493044,1.939561,1.059005
New York,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 18–24,1.89719,1.248569,0.748548
California,West,Pacific,Divorced,Live with spouse/partner,Living with partner,Female 45–54,2.121849,5.077318,1.420612
Connecticut,Northeast,New England,Divorced,Live with spouse/partner,Living with partner,Female 45–54,0.323546,1.107014,0.757478
Georgia,South,South Atlantic,Single,Only adult in household,Single,Female 25–34,1.092562,1.310734,0.933677
Tennessee,South,East South Central,Single,Only adult in household,Single,Male 45–54,0.715742,1.278268,0.783471
Oregon,West,Pacific,Single,Only adult in household,Single,Male 45–54,1.349111,0.459478,0.973064
Florida,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,1.187303,3.126805,1.042707
Florida,South,South Atlantic,Single,Only adult in household,Single,Male 35–44,1.075989,2.824134,0.960357
Oklahoma,South,West South Central,Married,Live with spouse/partner,Married,Female 35–44,2.643487,0.384374,1.822096
Georgia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.935585,1.132953,0.761288
Indiana,Midwest,East North Central,Married,Live with spouse/partner,Married,Female 65+,1.490998,0.757965,1.013615
Oklahoma,South,West South Central,Married,Live with spouse/partner,Married,Male 65+,1.171223,0.333382,0.717249
South Carolina,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,0.934276,0.610757,0.665712
