age,education_level,occupation,number_of_dependents,location,work_experience,marital_status,employment_status,household_size,homeownership_status,type_of_housing,gender,primary_mode_of_transportation,income,log_income
23,Bachelor's,Technology,4,Urban,0,Married,Self-employed,7,Rent,Apartment,Female,Public transit,75104,11.226642413432154
59,Master's,Technology,2,Urban,33,Married,Full-time,7,Rent,Apartment,Male,Biking,5004178,15.425783921312052
21,High School,Education,0,Urban,2,Single,Part-time,5,Own,Townhouse,Female,Public transit,180722,12.104720751269706
46,Master's,Healthcare,5,Suburban,16,Married,Full-time,2,Own,Apartment,Female,Public transit,5324279,15.48778804915029
35,Master's,Healthcare,2,Urban,31,Single,Part-time,1,Own,Apartment,Male,Walking,71180,11.172981207855637
43,High School,Finance,2,Urban,23,Single,Full-time,1,Own,Apartment,Female,Public transit,74094,11.213103332624279
61,Bachelor's,Technology,2,Urban,1,Single,Part-time,1,Rent,Apartment,Male,Public transit,49810,10.815991122155705
51,High School,Healthcare,0,Urban,0,Married,Full-time,1,Own,Apartment,Male,Biking,68654,11.136849241755852
27,Bachelor's,Education,1,Suburban,33,Single,Self-employed,4,Own,Single-family home,Male,Walking,66480,11.104671471534129
53,Bachelor's,Finance,2,Urban,7,Single,Full-time,4,Own,Apartment,Female,Walking,66764,11.108934270118064
31,Bachelor's,Technology,1,Suburban,44,Single,Self-employed,4,Rent,Apartment,Female,Biking,71224,11.173599159366109
48,Bachelor's,Education,5,Urban,45,Single,Full-time,2,Own,Apartment,Male,Biking,68174,11.129833207713789
65,High School,Healthcare,4,Urban,43,Single,Full-time,2,Rent,Apartment,Male,Walking,82524,11.320856556721393
32,Bachelor's,Healthcare,5,Suburban,8,Married,Part-time,7,Rent,Single-family home,Male,Biking,66704,11.108035191612906
25,High School,Finance,4,Urban,27,Married,Self-employed,3,Own,Townhouse,Male,Public transit,659147,13.398703370970788
31,Master's,Technology,4,Urban,18,Divorced,Part-time,5,Own,Townhouse,Female,Car,66424,11.103828770628015
40,High School,Finance,5,Urban,19,Single,Full-time,2,Own,Townhouse,Female,Biking,72678,11.193807763472138
57,Master's,Others,3,Urban,6,Married,Self-employed,3,Rent,Single-family home,Male,Public transit,53957,10.895961245142571
38,Bachelor's,Others,0,Urban,41,Single,Part-time,1,Rent,Apartment,Male,Walking,41398,10.631012004932307
33,Bachelor's,Healthcare,1,Rural,34,Single,Full-time,1,Own,Single-family home,Male,Car,71576,11.178529072293355
62,Master's,Healthcare,3,Suburban,18,Single,Part-time,7,Rent,Apartment,Female,Walking,67830,11.124774596570653
35,Bachelor's,Technology,1,Rural,16,Single,Part-time,2,Own,Single-family home,Female,Walking,3059562,14.933782653272663
64,Bachelor's,Healthcare,0,Rural,39,Married,Part-time,4,Own,Single-family home,Female,Car,67232,11.115919477403699
70,High School,Finance,2,Urban,17,Married,Part-time,7,Own,Townhouse,Male,Biking,69764,11.152887730326308
41,Bachelor's,Others,5,Urban,6,Married,Self-employed,3,Rent,Apartment,Male,Public transit,5671675,15.550995222854496
43,High School,Technology,3,Urban,26,Divorced,Self-employed,6,Rent,Apartment,Female,Car,796904,13.58849075367912
42,High School,Healthcare,0,Suburban,38,Married,Part-time,7,Rent,Single-family home,Male,Public transit,555011,13.22674501411645
62,Bachelor's,Healthcare,5,Urban,29,Married,Full-time,5,Own,Apartment,Male,Biking,69034,11.142368901350252
58,High School,Education,3,Urban,22,Married,Part-time,3,Own,Townhouse,Male,Public transit,66248,11.101175649394925
46,High School,Finance,4,Urban,19,Married,Self-employed,4,Own,Apartment,Male,Public transit,73590,11.206278014631144
32,High School,Education,3,Urban,22,Married,Full-time,6,Own,Single-family home,Male,Car,68070,11.128306557093602
62,High School,Healthcare,2,Urban,25,Single,Part-time,4,Own,Single-family home,Female,Car,67766,11.123830629775386
18,High School,Healthcare,2,Urban,47,Married,Part-time,2,Rent,Apartment,Female,Walking,67192,11.115324354418851
42,Doctorate,Others,1,Suburban,46,Married,Part-time,7,Own,Apartment,Male,Car,73634,11.206875735160262
24,High School,Technology,3,Urban,13,Married,Self-employed,7,Own,Townhouse,Male,Public transit,71594,11.178780518108107
26,Bachelor's,Others,4,Rural,47,Married,Full-time,7,Own,Apartment,Male,Car,351674,12.770462732625896
41,High School,Finance,2,Urban,30,Married,Part-time,4,Rent,Apartment,Male,Biking,171792,12.054045542649803
18,Master's,Technology,1,Rural,26,Divorced,Full-time,4,Own,Apartment,Male,Biking,71314,11.174861962957523
61,High School,Healthcare,4,Urban,8,Married,Self-employed,5,Rent,Single-family home,Male,Car,71448,11.176739187458812
25,Doctorate,Education,4,Suburban,22,Single,Full-time,4,Rent,Apartment,Male,Biking,5726383,15.560594824913437
41,Bachelor's,Technology,4,Urban,9,Single,Self-employed,6,Own,Single-family home,Male,Public transit,69570,11.150103092826168
28,High School,Others,0,Urban,46,Single,Full-time,1,Own,Apartment,Female,Biking,70452,11.162701099812656
68,Master's,Healthcare,2,Suburban,22,Married,Full-time,4,Rent,Townhouse,Female,Car,74538,11.219077757327483
34,Bachelor's,Healthcare,0,Urban,9,Single,Full-time,1,Own,Single-family home,Male,Public transit,68190,11.130067870314047
25,High School,Technology,0,Urban,1,Married,Part-time,5,Rent,Apartment,Male,Car,65872,11.095483924851465
52,Master's,Healthcare,2,Urban,36,Married,Full-time,6,Own,Townhouse,Male,Public transit,157265,11.96569391819426
52,Master's,Technology,3,Urban,39,Married,Full-time,2,Own,Apartment,Male,Car,66008,11.097546375348252
50,Bachelor's,Healthcare,5,Urban,37,Single,Part-time,1,Own,Townhouse,Female,Public transit,72046,11.18507396280923
22,Bachelor's,Healthcare,1,Urban,37,Single,Self-employed,2,Own,Apartment,Male,Biking,71618,11.179115680874661
59,Master's,Education,5,Urban,0,Single,Self-employed,6,Own,Apartment,Female,Car,68604,11.136120697355276
56,Bachelor's,Technology,5,Urban,47,Married,Full-time,6,Rent,Single-family home,Female,Car,70880,11.168757693531585
58,Master's,Technology,5,Suburban,17,Single,Part-time,7,Rent,Single-family home,Male,Biking,274241,12.521766207247106
45,Bachelor's,Healthcare,5,Urban,34,Married,Part-time,6,Own,Apartment,Female,Public transit,70658,11.165620768534476
24,High School,Others,2,Urban,6,Single,Part-time,6,Rent,Townhouse,Female,Public transit,4855305,15.39558268552778
26,Master's,Healthcare,5,Urban,43,Married,Full-time,2,Own,Single-family home,Female,Public transit,68752,11.138275650940416
25,High School,Healthcare,1,Urban,41,Divorced,Part-time,1,Own,Apartment,Male,Public transit,71456,11.176851149168025
29,High School,Technology,3,Urban,21,Married,Part-time,3,Own,Single-family home,Female,Public transit,73072,11.199214220463611
51,Bachelor's,Healthcare,2,Urban,24,Single,Full-time,4,Own,Townhouse,Male,Public transit,65850,11.095149893084974
50,Bachelor's,Technology,5,Rural,41,Married,Full-time,7,Own,Apartment,Female,Public transit,5908245,15.59185956022288
65,High School,Others,4,Suburban,22,Single,Full-time,5,Rent,Townhouse,Male,Biking,128166,11.761089380036578
40,Master's,Technology,2,Urban,8,Single,Self-employed,6,Own,Apartment,Male,Public transit,72296,11.188537913510032
41,Bachelor's,Technology,3,Urban,26,Single,Self-employed,2,Own,Apartment,Male,Public transit,75062,11.226083039915892
54,Bachelor's,Technology,5,Urban,10,Single,Full-time,3,Own,Apartment,Male,Biking,67804,11.124391217522046
52,Master's,Healthcare,0,Rural,50,Married,Part-time,2,Own,Apartment,Female,Car,7897514,15.882058710991807
61,Bachelor's,Education,2,Rural,26,Married,Full-time,3,Own,Apartment,Male,Public transit,196973,12.190827019314607
57,High School,Education,4,Urban,39,Married,Part-time,5,Own,Apartment,Male,Car,1034725,13.849647215333778
39,High School,Others,2,Urban,27,Single,Full-time,7,Own,Single-family home,Male,Public transit,70090,11.157549676763116
44,Doctorate,Healthcare,0,Urban,17,Married,Full-time,3,Own,Apartment,Male,Biking,302646,12.620322388830592
52,High School,Technology,2,Urban,35,Single,Self-employed,7,Own,Single-family home,Male,Public transit,37821,10.540646222887219
18,Bachelor's,Others,4,Urban,33,Single,Part-time,7,Rent,Townhouse,Male,Public transit,141058,11.856933521555133
52,Bachelor's,Finance,3,Urban,12,Single,Full-time,7,Rent,Apartment,Female,Public transit,289709,12.576635701629073
54,Bachelor's,Others,4,Urban,45,Married,Full-time,5,Rent,Single-family home,Female,Biking,414718,12.935356461437653
64,High School,Technology,3,Urban,29,Married,Self-employed,4,Rent,Apartment,Male,Public transit,1309591,14.085226196284912
31,Bachelor's,Education,4,Urban,27,Single,Full-time,6,Own,Single-family home,Female,Public transit,69850,11.1541196809749
20,Bachelor's,Finance,1,Suburban,21,Divorced,Part-time,6,Own,Single-family home,Male,Car,71056,11.171237650839744
18,Doctorate,Healthcare,2,Urban,23,Single,Full-time,7,Rent,Townhouse,Female,Car,72410,11.190113500534709
22,High School,Healthcare,2,Urban,46,Married,Full-time,6,Rent,Townhouse,Male,Public transit,66540,11.105573578013793
43,Bachelor's,Finance,0,Suburban,29,Single,Part-time,3,Own,Apartment,Male,Car,71384,11.17584304222332
31,Bachelor's,Technology,1,Urban,44,Married,Self-employed,6,Own,Single-family home,Female,Car,3336052,15.02029892962474
56,Bachelor's,Others,0,Urban,37,Married,Full-time,2,Rent,Apartment,Male,Car,279868,12.542076915529227
44,Bachelor's,Others,2,Urban,19,Married,Full-time,4,Own,Single-family home,Female,Public transit,66088,11.098757597467895
26,High School,Others,0,Urban,5,Single,Self-employed,2,Own,Townhouse,Female,Car,70662,11.165677376847421
32,High School,Healthcare,3,Urban,32,Married,Part-time,2,Rent,Apartment,Female,Walking,67500,11.119897691565697
32,Master's,Technology,1,Suburban,46,Married,Part-time,4,Own,Single-family home,Male,Public transit,66212,11.100632097268484
43,Bachelor's,Finance,4,Urban,37,Married,Full-time,4,Rent,Apartment,Male,Car,3345291,15.023064542203883
59,Bachelor's,Others,3,Urban,14,Single,Full-time,5,Own,Townhouse,Female,Biking,66304,11.1020205881117
30,High School,Education,5,Suburban,14,Single,Full-time,7,Own,Apartment,Female,Car,33597,10.42222182037016
68,High School,Healthcare,4,Urban,31,Single,Part-time,3,Own,Apartment,Female,Biking,3063006,14.93490767115347
49,High School,Others,0,Urban,13,Single,Full-time,5,Rent,Apartment,Male,Public transit,73012,11.198392786467558
56,High School,Education,2,Urban,41,Single,Part-time,1,Own,Single-family home,Male,Public transit,74986,11.225070044161155
66,Bachelor's,Technology,3,Urban,7,Single,Part-time,1,Rent,Single-family home,Female,Public transit,65862,11.095332106062079
69,Master's,Education,1,Urban,35,Married,Self-employed,5,Rent,Apartment,Male,Car,4090954,15.224288997095476
49,High School,Education,4,Suburban,21,Married,Self-employed,5,Rent,Single-family home,Female,Public transit,85064,11.351170949116238
21,Bachelor's,Finance,5,Urban,37,Married,Self-employed,3,Own,Single-family home,Female,Public transit,537921,13.19546884722046
47,High School,Education,3,Urban,19,Married,Part-time,4,Own,Apartment,Female,Car,164295,12.00942495801993
54,Bachelor's,Technology,2,Rural,23,Married,Full-time,1,Rent,Single-family home,Female,Public transit,2893692,14.87804409899849
40,High School,Healthcare,1,Urban,20,Married,Full-time,7,Own,Townhouse,Female,Biking,66666,11.107465356849564
56,Master's,Education,1,Urban,27,Divorced,Part-time,7,Own,Apartment,Male,Car,70646,11.165450924366091
62,Bachelor's,Education,4,Suburban,48,Married,Part-time,4,Rent,Apartment,Female,Public transit,68156,11.129569146450041
32,Doctorate,Finance,3,Suburban,22,Married,Full-time,2,Own,Apartment,Female,Car,572590,13.257926953744072
60,Master's,Education,3,Urban,23,Married,Self-employed,2,Rent,Apartment,Female,Biking,226610,12.330990170087157
46,Bachelor's,Technology,1,Suburban,38,Single,Full-time,4,Own,Single-family home,Male,Public transit,70288,11.16037059329396
53,Bachelor's,Technology,0,Urban,43,Married,Part-time,2,Own,Apartment,Female,Car,73094,11.199515243945717
30,High School,Technology,1,Suburban,22,Single,Part-time,1,Rent,Apartment,Female,Public transit,43133,10.672066828211927
49,Bachelor's,Technology,2,Rural,3,Married,Part-time,1,Rent,Apartment,Female,Public transit,546930,13.212077930851494
24,Master's,Education,3,Urban,45,Married,Part-time,2,Own,Single-family home,Female,Public transit,68044,11.127924529994418
68,High School,Education,4,Urban,3,Married,Full-time,1,Rent,Single-family home,Female,Walking,66446,11.104159916395385
39,Master's,Technology,3,Urban,29,Married,Self-employed,2,Own,Single-family home,Male,Public transit,287640,12.569468453778319
45,Bachelor's,Healthcare,1,Suburban,47,Married,Self-employed,3,Rent,Single-family home,Female,Walking,73182,11.200718432540258
19,Master's,Others,2,Suburban,27,Married,Part-time,3,Own,Single-family home,Female,Car,75118,11.22682880175946
59,Master's,Finance,0,Urban,30,Divorced,Full-time,4,Rent,Single-family home,Female,Walking,71990,11.184296390185041
62,Bachelor's,Education,3,Suburban,32,Married,Full-time,7,Own,Single-family home,Female,Public transit,71790,11.18151439899016
70,Bachelor's,Technology,1,Suburban,49,Married,Full-time,7,Rent,Townhouse,Female,Public transit,68046,11.127953921876383
23,Bachelor's,Others,5,Suburban,18,Married,Part-time,2,Own,Apartment,Female,Biking,31127,10.34586301466439
45,Master's,Healthcare,1,Suburban,9,Married,Full-time,3,Own,Apartment,Female,Public transit,70500,11.163382173096926
45,Doctorate,Finance,1,Urban,24,Single,Full-time,3,Rent,Single-family home,Male,Public transit,87542,11.37988538020566
61,Master's,Healthcare,2,Urban,36,Single,Part-time,1,Own,Townhouse,Female,Public transit,71280,11.174385091226979
61,Bachelor's,Technology,1,Suburban,12,Married,Self-employed,4,Own,Townhouse,Male,Public transit,70670,11.165790583860716
37,Bachelor's,Others,1,Rural,5,Married,Full-time,4,Own,Apartment,Male,Car,74132,11.213616056277468
47,Master's,Technology,1,Urban,29,Married,Part-time,3,Own,Apartment,Male,Car,65958,11.096788615855154
28,Bachelor's,Technology,3,Urban,22,Married,Part-time,3,Rent,Single-family home,Male,Car,217972,12.292126480889774
45,Master's,Others,1,Suburban,35,Single,Self-employed,4,Own,Townhouse,Female,Public transit,48122,10.781515512284951
42,Bachelor's,Finance,2,Suburban,15,Married,Part-time,6,Own,Apartment,Male,Car,73496,11.204999868041389
56,High School,Technology,5,Urban,7,Single,Part-time,1,Rent,Single-family home,Female,Biking,4701227,15.363334309149247
50,Bachelor's,Technology,3,Urban,15,Divorced,Part-time,5,Own,Single-family home,Female,Car,65756,11.093721408251461
18,Bachelor's,Technology,5,Suburban,10,Married,Self-employed,1,Own,Apartment,Female,Public transit,7066470,15.770871761911547
44,High School,Finance,1,Suburban,0,Married,Self-employed,5,Own,Townhouse,Male,Public transit,66922,11.111297983743281
69,High School,Others,0,Suburban,21,Married,Full-time,4,Own,Apartment,Male,Public transit,2567436,14.758418682995973
30,Bachelor's,Finance,5,Suburban,17,Single,Part-time,4,Own,Townhouse,Male,Public transit,71024,11.17078720672239
58,High School,Finance,2,Urban,35,Married,Part-time,4,Own,Apartment,Female,Public transit,67218,11.115711224643595
20,Bachelor's,Healthcare,0,Rural,10,Single,Part-time,2,Rent,Townhouse,Male,Public transit,165136,12.014530711402145
56,Master's,Finance,2,Suburban,19,Married,Full-time,2,Own,Single-family home,Female,Public transit,72898,11.19683020048154
23,Doctorate,Finance,0,Urban,9,Single,Full-time,2,Rent,Apartment,Female,Car,65944,11.096576340259984
25,Master's,Finance,1,Rural,47,Married,Part-time,4,Own,Single-family home,Female,Public transit,67278,11.116603431278344
44,Doctorate,Healthcare,0,Rural,9,Single,Full-time,3,Own,Apartment,Female,Public transit,66124,11.0993021691606
26,Bachelor's,Others,5,Suburban,36,Married,Full-time,4,Own,Apartment,Male,Public transit,2526190,14.742223192652377
54,High School,Healthcare,0,Urban,49,Divorced,Self-employed,5,Own,Apartment,Female,Biking,70444,11.162587542487376
50,Bachelor's,Healthcare,2,Urban,21,Married,Full-time,1,Rent,Townhouse,Female,Biking,6730067,15.722095805581752
68,Master's,Technology,1,Urban,10,Single,Part-time,6,Rent,Apartment,Female,Car,75497,11.231861444820023
59,Bachelor's,Technology,2,Urban,34,Married,Self-employed,5,Own,Single-family home,Female,Car,265239,12.488390355482803
61,High School,Education,1,Urban,8,Married,Part-time,7,Rent,Single-family home,Male,Car,67380,11.118118358049584
41,Master's,Finance,5,Urban,14,Single,Full-time,1,Own,Townhouse,Female,Public transit,62367,11.040807602307288
32,High School,Education,4,Urban,50,Single,Full-time,7,Rent,Apartment,Male,Walking,68888,11.14025179258698
49,Bachelor's,Healthcare,3,Rural,18,Single,Part-time,5,Rent,Townhouse,Female,Biking,118467,11.682398160895271
49,High School,Healthcare,5,Urban,36,Married,Self-employed,1,Rent,Single-family home,Female,Walking,1845016,14.427999049506456
41,Bachelor's,Others,5,Urban,5,Married,Self-employed,6,Rent,Apartment,Female,Car,1836641,14.423449462243761
58,Bachelor's,Healthcare,3,Urban,35,Married,Part-time,3,Rent,Townhouse,Male,Public transit,1710378,14.352225541347797
69,High School,Healthcare,2,Urban,43,Married,Full-time,1,Own,Apartment,Male,Public transit,74072,11.212806372414764
66,Bachelor's,Technology,5,Suburban,4,Married,Full-time,4,Rent,Single-family home,Female,Public transit,66420,11.103768550523514
66,Bachelor's,Education,1,Urban,2,Married,Part-time,5,Own,Single-family home,Female,Biking,192980,12.170347017445081
69,Master's,Finance,0,Urban,9,Married,Full-time,2,Rent,Townhouse,Female,Car,66382,11.103196278588376
29,Master's,Others,5,Urban,12,Single,Self-employed,7,Own,Townhouse,Male,Car,75288,11.229089320779604
56,Bachelor's,Finance,3,Urban,3,Single,Full-time,3,Own,Single-family home,Female,Car,71626,11.179227376838364
19,Master's,Education,5,Urban,39,Single,Full-time,6,Own,Apartment,Male,Car,65114,11.083910216401804
20,Bachelor's,Technology,2,Urban,32,Married,Full-time,5,Own,Single-family home,Female,Biking,73568,11.20597902033699
66,Bachelor's,Technology,2,Urban,33,Married,Full-time,3,Own,Apartment,Male,Public transit,65804,11.094451102268424
54,High School,Education,2,Urban,35,Single,Part-time,2,Rent,Single-family home,Female,Public transit,74500,11.218567827096358
66,Bachelor's,Healthcare,1,Suburban,32,Single,Full-time,2,Own,Apartment,Male,Biking,73370,11.20328404116402
34,Bachelor's,Technology,5,Urban,20,Married,Part-time,2,Rent,Townhouse,Female,Biking,707141,13.468986773367613
66,High School,Healthcare,2,Urban,38,Married,Part-time,2,Own,Single-family home,Female,Walking,73038,11.198748824046977
19,Bachelor's,Others,4,Urban,4,Single,Full-time,2,Own,Apartment,Female,Public transit,65250,11.085996650738002
19,Master's,Finance,0,Urban,44,Single,Full-time,4,Own,Apartment,Male,Biking,317203,12.6673003790038
45,Bachelor's,Healthcare,2,Urban,12,Single,Self-employed,1,Own,Apartment,Male,Biking,67264,11.116395320919644
40,High School,Healthcare,1,Urban,39,Married,Full-time,7,Own,Apartment,Female,Walking,69482,11.148837397315821
54,Bachelor's,Others,0,Urban,16,Single,Part-time,2,Own,Single-family home,Male,Car,73858,11.20991314918682
49,Bachelor's,Education,0,Urban,9,Married,Full-time,5,Own,Apartment,Male,Public transit,6454062,15.680220412934688
50,Bachelor's,Finance,3,Urban,9,Divorced,Part-time,5,Rent,Townhouse,Male,Public transit,750717,13.528785360894522
18,Bachelor's,Education,2,Urban,1,Single,Part-time,2,Rent,Single-family home,Female,Car,72528,11.191741760864094
36,Bachelor's,Others,2,Rural,37,Single,Full-time,3,Rent,Single-family home,Male,Car,401941,12.904063078585034
19,Master's,Finance,5,Urban,20,Single,Self-employed,2,Rent,Apartment,Male,Car,71028,11.170843523334396
